Wall time,Step,Value
1761276533.5147746,172000,28.58624267578125
1761276534.3612108,172500,28.323314666748047
1761276535.267621,173000,28.7872257232666
1761276536.1146162,173500,29.31186866760254
1761276536.9632914,174000,29.019460678100586
1761276537.8160062,174500,29.425600051879883
1761276538.6491573,175000,29.376434326171875
1761276539.4981124,175500,29.33926773071289
1761276540.3454838,176000,29.3117733001709
1761276541.2189991,176500,29.730985641479492
1761276542.0853672,177000,29.37769889831543
1761276542.9475126,177500,29.599925994873047
1761276543.85327,178000,29.725187301635742
1761276544.7140598,178500,29.61016082763672
1761276545.5721629,179000,29.48096466064453
1761276546.4261498,179500,29.693012237548828
1761276547.2753687,180000,29.624616622924805
1761276548.1447406,180500,30.409500122070312
1761276548.9758954,181000,29.85279655456543
1761276549.8259861,181500,29.32838249206543
1761276550.6928396,182000,28.451805114746094
1761276551.5602968,182500,27.6069278717041
1761276552.427634,183000,27.25741195678711
1761276553.2965531,183500,26.923616409301758
1761276554.1510878,184000,26.711647033691406
1761276555.0252552,184500,26.01166343688965
1761276555.9118984,185000,25.254911422729492
1761276556.783493,185500,24.82822608947754
1761276557.6334305,186000,24.686967849731445
1761276558.49163,186500,24.278501510620117
1761276559.3976128,187000,22.65837860107422
1761276560.2484832,187500,21.658239364624023
1761276561.0999932,188000,21.759374618530273
1761276561.9622388,188500,21.385961532592773
1761276562.812054,189000,21.572717666625977
1761276563.669012,189500,21.79155158996582
1761276564.5174675,190000,22.142297744750977
1761276565.3565972,190500,21.898561477661133
1761276566.2096891,191000,21.48874855041504
1761276567.0614493,191500,21.841093063354492
1761276567.9188685,192000,22.206327438354492
1761276568.7587,192500,22.28455352783203
1761276569.6112194,193000,22.601953506469727
1761276570.4562764,193500,23.238901138305664
1761276571.3087304,194000,23.244565963745117
1761276572.2182608,194500,22.912254333496094
1761276573.1182292,195000,23.365339279174805
1761276574.0855849,195500,23.14400863647461
1761276574.9547696,196000,23.330541610717773
1761276575.802324,196500,23.437068939208984
1761276576.657127,197000,22.82065200805664
1761276577.5131738,197500,22.670936584472656
1761276578.3720467,198000,22.780513763427734
1761276579.224486,198500,22.498764038085938
1761276580.076783,199000,22.5736083984375
1761276580.951646,199500,22.600749969482422
1761276581.8287842,200000,22.609827041625977
1761276582.8937862,200500,22.614540100097656
1761276583.8569088,201000,22.351791381835938
1761276584.7130003,201500,22.49863052368164
1761276585.5690718,202000,22.30503273010254
1761276586.4785054,202500,21.852449417114258
1761276587.329093,203000,21.717493057250977
1761276588.1928036,203500,21.444141387939453
1761276589.0299966,204000,21.52155113220215
1761276589.8858852,204500,21.853456497192383
1761276590.7606194,205000,22.404003143310547
1761276591.6315143,205500,22.764760971069336
1761276592.4854739,206000,22.95088768005371
1761276593.3574963,206500,23.345121383666992
1761276594.2215571,207000,23.908994674682617
1761276595.0769453,207500,23.900489807128906
1761276595.942271,208000,24.373186111450195
1761276596.7478657,208500,25.23816680908203
1761276597.5831513,209000,25.559846878051758
1761276598.523781,209500,26.27185821533203
1761276599.3870664,210000,26.509838104248047
1761276600.3068926,210500,26.957763671875
1761276601.1664145,211000,27.37745475769043
1761276602.036085,211500,27.501846313476562
1761276602.891233,212000,27.473905563354492
1761276603.7715478,212500,28.00026512145996
1761276604.6318135,213000,28.06635856628418
1761276605.5077257,213500,28.246746063232422
1761276606.3543785,214000,28.580591201782227
1761276607.2040431,214500,28.84829330444336
1761276608.0604143,215000,28.937009811401367
1761276608.9452639,215500,28.64509391784668
1761276609.8025827,216000,28.262557983398438
1761276610.6740255,216500,28.39906883239746
1761276611.5216334,217000,28.27518653869629
1761276612.3640814,217500,28.659852981567383
1761276613.2122614,218000,29.356708526611328
1761276614.0848918,218500,29.692195892333984
1761276614.933019,219000,29.494068145751953
1761276615.8353345,219500,29.67704963684082
1761276616.7570474,220000,30.281835556030273
1761276617.662995,220500,30.48505210876465
1761276618.6889591,221000,30.362340927124023
1761276619.6426067,221500,30.6878719329834
1761276620.5011759,222000,30.7153377532959
1761276621.3670216,222500,31.18996810913086
1761276622.235297,223000,30.526451110839844
1761276623.086171,223500,30.332300186157227
1761276623.9438078,224000,29.91543960571289
1761276624.8445807,224500,30.311479568481445
1761276625.7020879,225000,30.110445022583008
1761276626.6984766,225500,30.538354873657227
1761276627.5651674,226000,30.574142456054688
1761276628.4751267,226500,30.380525588989258
1761276629.3677723,227000,30.176895141601562
1761276630.2346594,227500,29.843313217163086
1761276631.110542,228000,29.846572875976562
1761276631.961552,228500,29.40385627746582
1761276632.8617308,229000,29.05843734741211
1761276633.762809,229500,28.0073184967041
1761276634.6369257,230000,27.621623992919922
1761276635.4929547,230500,26.423446655273438
1761276636.367745,231000,25.80230712890625
1761276637.2899008,231500,24.86600685119629
1761276638.1469197,232000,24.444915771484375
1761276639.000721,232500,23.805267333984375
1761276639.86608,233000,23.39242172241211
1761276640.7489278,233500,23.47588348388672
1761276641.6169317,234000,23.350439071655273
1761276642.5058112,234500,22.969438552856445
1761276643.359381,235000,22.614208221435547
1761276644.2193313,235500,22.451772689819336
1761276645.095182,236000,22.51333236694336
1761276645.9632766,236500,22.406652450561523
1761276646.8097315,237000,22.434131622314453
1761276647.6841114,237500,22.770294189453125
1761276648.5398705,238000,22.49898910522461
1761276649.4011643,238500,22.121217727661133
1761276650.2738154,239000,22.853239059448242
1761276651.2471306,239500,23.1906681060791
1761276652.1077623,240000,23.786102294921875
1761276652.9550247,240500,23.647924423217773
1761276653.8110878,241000,23.464210510253906
1761276654.6641154,241500,23.619430541992188
1761276655.5134294,242000,23.926136016845703
1761276656.421991,242500,24.074926376342773
1761276657.2853346,243000,24.4594669342041
1761276658.1407607,243500,24.57513427734375
1761276659.0264382,244000,24.6727352142334
1761276659.8727205,244500,24.829349517822266
1761276660.7448666,245000,25.091917037963867
1761276661.617304,245500,24.775020599365234
1761276662.484078,246000,24.376148223876953
1761276663.3609738,246500,24.56463623046875
1761276664.2086852,247000,24.482351303100586
1761276665.0801127,247500,25.064767837524414
1761276665.943608,248000,25.2567138671875
1761276666.8018777,248500,25.68282699584961
1761276667.672357,249000,25.89870262145996
1761276668.524257,249500,26.162887573242188
1761276669.4043498,250000,26.261375427246094
1761276670.328071,250500,26.549806594848633
1761276671.2041051,251000,26.476760864257812
1761276672.075802,251500,26.49027442932129
1761276672.92066,252000,26.14177894592285
1761276673.7796166,252500,26.425621032714844
1761276674.6451344,253000,26.689416885375977
1761276675.5071137,253500,27.353609085083008
1761276676.3802092,254000,27.231204986572266
1761276677.2640948,254500,27.0534610748291
1761276678.104243,255000,27.75150489807129
1761276678.9543092,255500,27.968610763549805
1761276679.799019,256000,28.560434341430664
1761276680.645745,256500,28.991174697875977
1761276681.5188131,257000,29.646825790405273
1761276682.3887036,257500,30.18022346496582
1761276683.254398,258000,30.361536026000977
1761276684.11549,258500,30.791751861572266
1761276684.9537494,259000,31.141149520874023
1761276685.8630736,259500,31.935869216918945
1761276686.7370512,260000,31.933879852294922
1761276687.5910003,260500,32.07244873046875
1761276688.459046,261000,32.47543716430664
1761276689.347214,261500,32.416202545166016
1761276690.2602696,262000,32.01864242553711
1761276691.113393,262500,32.12087631225586
1761276691.9767737,263000,32.24977493286133
1761276692.8381767,263500,32.259883880615234
1761276693.7329063,264000,32.39357376098633
1761276694.5862143,264500,32.42547607421875
1761276695.469362,265000,32.317874908447266
1761276696.335944,265500,32.716468811035156
1761276697.1845214,266000,32.78778076171875
1761276698.064791,266500,32.611778259277344
1761276698.9589322,267000,32.70725631713867
1761276699.828078,267500,33.204410552978516
1761276700.6920261,268000,32.97627258300781
1761276701.5743344,268500,32.93669891357422
1761276702.4340172,269000,32.840606689453125
1761276703.330076,269500,32.98778533935547
1761276704.1991613,270000,32.96940612792969
1761276705.0663013,270500,32.59861373901367
1761276705.9612324,271000,32.38893508911133
1761276706.8254552,271500,32.480201721191406
1761276707.6815307,272000,32.465728759765625
1761276708.5257916,272500,31.948165893554688
1761276709.3777301,273000,32.0422248840332
1761276710.221742,273500,31.953699111938477
1761276711.0888028,274000,31.329694747924805
1761276711.9547021,274500,31.39008140563965
1761276712.8608594,275000,31.38599395751953
1761276713.746211,275500,31.081613540649414
1761276714.5937855,276000,30.765974044799805
1761276715.4561443,276500,30.639545440673828
1761276716.3123572,277000,30.046783447265625
1761276717.1751852,277500,29.978240966796875
1761276718.0434804,278000,29.799238204956055
1761276718.874811,278500,29.52303123474121
1761276719.752,279000,29.28398895263672
1761276720.6339507,279500,29.177656173706055
1761276721.5133436,280000,29.441051483154297
1761276722.3816442,280500,29.147138595581055
1761276723.2425961,281000,29.13541603088379
1761276724.1279662,281500,29.333274841308594
1761276724.992523,282000,29.184106826782227
1761276725.887417,282500,29.019107818603516
1761276726.8953593,283000,28.935413360595703
